%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Applied Voltage(V)
294.589,82073.555,0.971,1.543,1.234,1.403,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.694,82126.055,0.971,1.485,1.071,1.151,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.694,82126.055,0.971,1.485,1.071,1.151,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.668,82110.945,0.971,1.592,1.229,1.353,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.668,82110.945,0.971,1.592,1.229,1.353,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.594,82072.844,0.971,1.532,1.139,1.314,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.594,82072.844,0.971,1.532,1.139,1.314,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.576,82065.742,0.971,1.599,1.24,1.408,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.576,82065.742,0.971,1.599,1.24,1.408,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.664,82110.492,0.971,1.558,1.178,1.403,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.592,82075.039,0.971,1.63,1.29,1.2,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.697,82126.055,0.971,1.572,1.2,1.202,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.697,82126.055,0.971,1.572,1.2,1.202,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.577,82067.164,0.971,1.662,1.34,1.377,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.665,82112.047,0.971,1.551,1.168,1.388,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.646,82100.875,0.971,1.615,1.266,1.261,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.595,82074.523,0.971,1.517,1.117,1.377,0,3917.671,-2074.149,-104.296,-0.033,0.046,0.5
294.702,82127.609,0.971,1.53,1.136,1.285,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.574,82068.195,0.971,1.634,1.296,1.337,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
294.661,82111.852,0.971,1.572,1.2,1.319,0,3917.671,-2074.149,-104.296,-0.033,0.045,0.5
295.002,82049.727,0.969,12.115,71.104,74.559,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.008,82052.508,0.969,12.14,71.397,74.584,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
295.085,82089.25,0.969,12.087,70.787,74.551,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.093,82095.187,0.969,12.122,71.209,74.663,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
295.093,82095.187,0.969,12.122,71.209,74.663,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
295.013,82056.898,0.969,12.109,71.037,74.456,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.008,82052.891,0.969,12.083,70.734,74.268,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
294.966,82031.453,0.969,12.142,71.09,74.563,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
294.966,82031.453,0.969,12.142,71.417,74.363,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.017,82056.57,0.969,12.075,70.992,74.404,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.017,82056.57,0.969,12.075,70.636,74.364,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.017,82058.578,0.969,12.076,70.649,74.299,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
294.966,82032.812,0.969,12.108,71.139,74.334,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
294.966,82032.812,0.969,12.108,71.013,74.294,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.091,82094.547,0.969,12.075,70.655,74.205,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
295.016,82056.641,0.969,12.089,70.809,74.536,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.022,82060.062,0.969,12.098,70.916,74.355,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.089,82094.414,0.969,12.142,71.439,74.16,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
294.963,82032.359,0.969,12.102,70.954,74.364,0,3917.671,-2074.149,-104.296,-0.033,0.046,2.5
295.085,82091.641,0.969,12.082,70.739,74.132,0,3917.671,-2074.149,-104.296,-0.033,0.045,2.5
294.658,82115.789,0.971,23.958,278.63,290.776,0,3917.671,-2074.149,-104.296,-0.033,0.046,4.5
294.577,82074.977,0.971,23.962,278.76,290.498,0,3917.671,-2074.149,-104.296,-0.033,0.046,4.5
