%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],PT1 Differential Pressure [Pa],PT2 Differential Pressure [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],Scanivalve Pressure 16 [Pa]
294.42,82085.57,0.971,6.724,21.958,23.032,0,3917.671,-2074.149,-104.296,-0.033,0.046,1.5
294.489,82119.531,0.971,6.705,21.834,23.02,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.458,82107.133,0.971,6.693,21.755,22.966,0,3917.671,-2074.149,-104.296,-0.033,0.046,1.5
294.458,82107.133,0.971,6.693,21.755,22.966,0,3917.671,-2074.149,-104.296,-0.033,0.046,1.5
294.424,82091.312,0.971,6.719,21.797,22.934,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.424,82091.312,0.971,6.719,21.924,23.027,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.479,82114.758,0.971,6.725,21.967,22.954,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.479,82114.758,0.971,6.725,21.967,22.954,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.546,82147.109,0.972,6.707,21.856,22.974,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.421,82084.531,0.971,6.719,21.922,22.936,0,3917.671,-2074.149,-104.296,-0.033,0.046,1.5
294.421,82084.531,0.971,6.719,21.922,22.936,0,3917.671,-2074.149,-104.296,-0.033,0.046,1.5
294.489,82119.211,0.971,6.715,21.968,23.011,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.489,82119.211,0.971,6.715,21.903,22.969,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.456,82105.523,0.971,6.693,21.754,22.901,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.551,82150.727,0.972,6.694,21.769,22.818,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.525,82137.68,0.972,6.713,21.827,22.847,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.479,82115.664,0.971,6.727,21.982,23.048,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.479,82115.664,0.971,6.727,21.982,23.048,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.543,82145.367,0.972,6.715,21.905,22.98,0,3917.671,-2074.149,-104.296,-0.032,0.045,1.5
294.418,82085.953,0.971,6.718,21.905,22.98,0,3917.671,-2074.149,-104.296,-0.032,0.046,1.5
294.523,82125.086,0.971,17.523,149.141,154.356,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.565,82144.203,0.971,17.482,148.45,154.279,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.462,82087.961,0.971,17.47,148.45,154.279,0,3917.671,-2074.149,-104.296,-0.033,0.045,3.5
294.5,82112.305,0.971,17.492,148.592,154.492,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.535,82124.57,0.971,17.495,148.658,154.456,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.535,82124.57,0.971,17.495,148.658,154.456,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.549,82137.297,0.971,17.492,148.619,154.39,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.44,82082.078,0.971,17.485,148.455,154.435,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.44,82082.078,0.971,17.485,148.455,154.435,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.486,82105.977,0.971,17.495,148.638,154.238,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.44,82080.531,0.971,17.509,148.864,154.158,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.572,82148.727,0.972,17.494,148.669,154.413,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.572,82148.727,0.972,17.494,148.669,154.413,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.465,82094.992,0.971,17.511,148.912,154.524,0,3917.671,-2074.149,-104.296,-0.032,0.046,3.5
294.501,82109.656,0.971,17.533,149.296,154.433,0,3917.671,-2074.149,-104.296,-0.032,0.046,3.5
294.528,82125.797,0.971,17.522,149.124,154.481,0,3917.671,-2074.149,-104.296,-0.032,0.046,3.5
294.422,82071.687,0.971,17.528,149.179,154.33,0,3917.671,-2074.149,-104.296,-0.032,0.046,3.5
294.438,82084.211,0.971,17.519,149.032,154.528,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.438,82084.211,0.971,17.519,149.032,154.528,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.535,82131.156,0.971,17.506,149.05,154.428,0,3917.671,-2074.149,-104.296,-0.032,0.045,3.5
294.426,82066.773,0.971,29.722,428.908,445.853,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
294.467,82090.672,0.971,29.716,428.789,446.032,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.467,82090.672,0.971,29.716,428.789,446.032,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.544,82128.703,0.971,29.697,428.323,445.784,0,3917.671,-2074.149,-104.296,-0.032,0.045,5.5
294.42,82067.484,0.971,29.673,428.323,445.784,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
294.42,82067.484,0.971,29.673,427.492,445.944,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
294.447,82080.469,0.971,29.687,427.924,445.853,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.491,82103.453,0.971,29.667,427.407,445.584,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.491,82103.453,0.971,29.667,427.407,445.584,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.444,82074.914,0.971,29.714,428.703,445.721,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
294.444,82074.914,0.971,29.714,428.703,445.721,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
294.451,82080.594,0.971,29.667,427.345,445.706,0,3917.671,-2074.149,-104.296,-0.032,0.046,5.5
294.474,82092.672,0.971,29.697,427.345,445.706,0,3917.671,-2074.149,-104.296,-0.033,0.046,5.5
